date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:56:04	560/560	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:03653df98f72698762f12e2d6bbb0314%22	https://mhat47-ip.myshopify.com/robots.txt		(from )
15:56:05	4010015/4010015	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:2feb995c12c325311cb7234f944c5c1c%22	https://mhat47-ip.myshopify.com/products/fritadeira-eletrica-sem-oleo-air-fryer-12l-1-800-watts-3-em-1-oven-fryer-oster	C:/Meus%20Sites/shioiiiiii/mhat47-ip.myshopify.com/products/fritadeira-eletrica-sem-oleo-air-fryer-12l-1-800-watts-3-em-1-oven-fryer-oster.html	(from )
15:56:05	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Jun%202025%2018:57:02%20GMT	http://mhat47-ip.myshopify.com/cdn/shop/t/4/assets/icon01.png?v=16333719806348789641745563355	C:/Meus%20Sites/shioiiiiii/mhat47-ip.myshopify.com/cdn/shop/t/4/assets/icon01.18252.delayed	(from https://mhat47-ip.myshopify.com/products/fritadeira-eletrica-sem-oleo-air-fryer-12l-1-800-watts-3-em-1-oven-fryer-oster)
15:56:06	557/557	---M--	200	added ('OK')	image/png	date:Mon,%2026%20May%202025%2021:31:39%20GMT	https://mhat47-ip.myshopify.com/cdn/shop/t/4/assets/icon01.png?v=16333719806348789641745563355	C:/Meus%20Sites/shioiiiiii/mhat47-ip.myshopify.com/cdn/shop/t/4/assets/icon018252.png	(from https://mhat47-ip.myshopify.com/products/fritadeira-eletrica-sem-oleo-air-fryer-12l-1-800-watts-3-em-1-oven-fryer-oster)
15:56:06	61061/61061	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ee85-zxOu6QS7pek93GMwnU4P2iFfd/Y%22	https://cdn.jsdelivr.net/npm/jsbarcode@3.11.0/dist/JsBarcode.all.min.js	C:/Meus%20Sites/shioiiiiii/cdn.jsdelivr.net/npm/jsbarcode@3.11.0/dist/JsBarcode.all.min.js	(from https://mhat47-ip.myshopify.com/products/fritadeira-eletrica-sem-oleo-air-fryer-12l-1-800-watts-3-em-1-oven-fryer-oster)
15:56:06	105/105	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2014%20Jun%202025%2018:57:03%20GMT	https://cdn.rawgit.com/davidshimjs/qrcodejs/gh-pages/qrcode.min.js	C:/Meus%20Sites/shioiiiiii/cdn.rawgit.com/davidshimjs/qrcodejs/gh-pages/qrcode.min.4.delayed	(from https://mhat47-ip.myshopify.com/products/fritadeira-eletrica-sem-oleo-air-fryer-12l-1-800-watts-3-em-1-oven-fryer-oster)
15:56:06	19927/19927	---M-Z	200	added ('OK')	application/javascript	etag:W/%224dd7-LQbB+CPzTBmYHGrgsOsPWGHF4Us%22	https://cdn.jsdelivr.net/gh/davidshimjs/qrcodejs@gh-pages/qrcode.min.js	C:/Meus%20Sites/shioiiiiii/cdn.jsdelivr.net/gh/davidshimjs/qrcodejs@gh-pages/qrcode.min.js	(from https://mhat47-ip.myshopify.com/products/fritadeira-eletrica-sem-oleo-air-fryer-12l-1-800-watts-3-em-1-oven-fryer-oster)
15:56:07	89795/89795	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15ec3%22	https://code.jquery.com/jquery-3.6.4.min.js	C:/Meus%20Sites/shioiiiiii/code.jquery.com/jquery-3.6.4.min.js	(from https://mhat47-ip.myshopify.com/products/fritadeira-eletrica-sem-oleo-air-fryer-12l-1-800-watts-3-em-1-oven-fryer-oster)
15:56:07	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%225f7b5b5f-e7d0%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	C:/Meus%20Sites/shioiiiiii/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	(from https://mhat47-ip.myshopify.com/products/fritadeira-eletrica-sem-oleo-air-fryer-12l-1-800-watts-3-em-1-oven-fryer-oster)
15:56:07	12772/12772	---MCZ	200	added ('OK')	text/javascript	etag:W/%224107ffae5a6d462f261bdb6c4e4b94c0%22	https://cdn.utmify.com.br/scripts/utms/latest.js	C:/Meus%20Sites/shioiiiiii/cdn.utmify.com.br/scripts/utms/latest.js	(from https://mhat47-ip.myshopify.com/products/fritadeira-eletrica-sem-oleo-air-fryer-12l-1-800-watts-3-em-1-oven-fryer-oster)
15:56:08	285208/285208	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2014%20Jun%202025%2018:57:05%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Meus%20Sites/shioiiiiii/connect.facebook.net/en_US/fbevents.js	(from https://mhat47-ip.myshopify.com/products/fritadeira-eletrica-sem-oleo-air-fryer-12l-1-800-watts-3-em-1-oven-fryer-oster)
15:56:08	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/Meus%20Sites/shioiiiiii/code.jquery.com/jquery-3.6.0.min.js	(from https://mhat47-ip.myshopify.com/products/fritadeira-eletrica-sem-oleo-air-fryer-12l-1-800-watts-3-em-1-oven-fryer-oster)
15:56:08	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/Meus%20Sites/shioiiiiii/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from https://mhat47-ip.myshopify.com/products/fritadeira-eletrica-sem-oleo-air-fryer-12l-1-800-watts-3-em-1-oven-fryer-oster)
